SubscriptionMonth,Country,Hackerspace,TrackName,ProductScheduleStandardized,StudentGender,Industry,AgeGroup,ExperienceLevel,ChurnFlag,TotalSubscriptions,AvgProgress,TotalDiplomas,AvgExperience,DiplomaRate
2024-01,Côte d'Ivoire,Marcory Zone 4,Web Development Essentials*,Code Schedule,Male,Sales,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Web Development Essentials*,Code Schedule,Male,Sales,Unknown,No Experience,Likely Churned,1,11.76,0,0.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Performance Marketing - Meta Certified,Code Schedule,Female,Management,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Performance Marketing - Meta Certified,Code Schedule,Female,Marketing,25-34,No Experience,Active / In Progress,1,98.85,0,0.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Performance Marketing - Meta Certified,Code Schedule,Female,Research And Development,25-34,No Experience,Active / In Progress,1,86.36,0,0.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Performance Marketing - Meta Certified,Code Schedule,Female,Research And Development,35-49,Mid-Level,Completed,1,100.0,1,3.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Performance Marketing - Meta Certified,Code Schedule,Male,Management,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Performance Marketing - Meta Certified,Code Schedule,Male,Research And Development,25-34,Junior,Completed,1,100.0,1,2.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Performance Marketing - Meta Certified,Code Schedule,Male,Sales,25-34,No Experience,Likely Churned,1,13.95,0,0.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Python Essentials*,Code Schedule,Female,Management,18-24,No Experience,Likely Churned,1,0.0,0,0.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Python Essentials*,Code Schedule,Female,Research And Development,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Python Essentials*,Code Schedule,Male,Design,35-49,Junior,Completed,1,100.0,1,2.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Python Essentials*,Code Schedule,Male,Research And Development,35-49,Mid-Level,Active / In Progress,1,75.0,0,4.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Python Essentials*,Code Schedule,Male,Research And Development,35-49,Mid-Level,Completed,1,100.0,1,3.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Python Essentials*,Code Schedule,Male,Research And Development,35-49,Mid-Level,Likely Churned,1,9.56,0,3.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Engineering And Technology,Unknown,No Experience,Active / In Progress,1,62.75,0,0.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Research And Development,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Research And Development,35-49,Mid-Level,Active / In Progress,1,100.0,0,3.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Sales,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Social Media Marketing Essentials*,Code Schedule,Male,Marketing,25-34,Junior,Active / In Progress,1,100.0,0,1.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Social Media Marketing Essentials*,Code Schedule,Male,Marketing,35-49,No Experience,Active / In Progress,1,41.18,0,0.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Software Developer Bootcamp*,Morning,Male,Management,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Software Developer Bootcamp*,Morning,Male,Management,25-34,No Experience,Completed,1,99.78,1,0.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Software Developer Bootcamp*,Morning,Male,Sales,18-24,No Experience,Completed,2,99.89,2,0.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Software Developer Bootcamp*,Morning,Male,Sales,Unknown,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Web Development Essentials*,Code Schedule,Female,Management,25-34,No Experience,Active / In Progress,1,40.34,0,0.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Web Development Essentials*,Code Schedule,Male,Design,18-24,No Experience,Active / In Progress,1,78.99,0,0.0,0.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Web Development Essentials*,Code Schedule,Male,Design,Unknown,Junior,Completed,1,100.0,1,1.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Web Development Essentials*,Code Schedule,Male,Marketing,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Web Development Essentials*,Code Schedule,Male,Sales,18-24,Junior,Completed,1,100.0,1,2.0,1.0
2024-01,Côte d'Ivoire,Riviera Hackerspace,Web Development Essentials*,Code Schedule,Male,Sales,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Egypt,Egypt Online Hackerspace,Cybersecurity - Comptia Security + Certified,Code Schedule,Male,Management,35-49,No Experience,Active / In Progress,1,77.61,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Cybersecurity - Comptia Security + Certified,Code Schedule,Unknown,Management,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Egypt,Egypt Online Hackerspace,Data Scientist Bootcamp*,Night,Female,Management,18-24,No Experience,Active / In Progress,1,100.0,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Engineering And Technology,18-24,No Experience,Active / In Progress,1,32.8,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Management,25-34,Junior,Likely Churned,2,9.809999999999999,0,1.5,0.0
2024-01,Egypt,Egypt Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Management,35-49,Mid-Level,Active / In Progress,1,56.27,0,3.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Management,35-49,No Experience,Active / In Progress,2,63.345,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Research And Development,Unknown,No Experience,Likely Churned,1,2.89,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Female,Management,25-34,No Experience,Likely Churned,1,13.45,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Female,Marketing,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Egypt,Egypt Online Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Male,Management,25-34,Junior,Active / In Progress,1,99.17,0,1.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Male,Sales,18-24,No Experience,Likely Churned,1,10.92,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Python Essentials*,Code Schedule,Female,Operations,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Egypt,Egypt Online Hackerspace,Python Essentials*,Code Schedule,Female,Sales,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Egypt,Egypt Online Hackerspace,Python Essentials*,Code Schedule,Male,Management,25-34,Junior,Active / In Progress,1,52.94,0,1.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Python Essentials*,Code Schedule,Male,Marketing,18-24,No Experience,Likely Churned,1,14.71,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Python Essentials*,Code Schedule,Male,Marketing,25-34,No Experience,Active / In Progress,1,38.97,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Management,18-24,Mid-Level,Likely Churned,1,23.53,0,3.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Management,18-24,No Experience,Active / In Progress,2,52.94,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Management,18-24,No Experience,Likely Churned,1,23.53,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Management,25-34,No Experience,Active / In Progress,1,49.02,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Sales,18-24,No Experience,Active / In Progress,1,43.14,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Sales,18-24,No Experience,Likely Churned,1,11.76,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Sales,25-34,Mid-Level,Active / In Progress,1,64.71,0,3.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Software Developer Bootcamp*,Night,Female,Unknown,25-34,Junior,Active / In Progress,1,42.98,0,1.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Software Developer Bootcamp*,Night,Male,Engineering And Technology,Unknown,Junior,Likely Churned,1,3.0,0,1.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Software Developer Bootcamp*,Night,Male,Management,25-34,No Experience,Active / In Progress,2,49.89,0,0.0,0.0
2024-01,Egypt,Egypt Online Hackerspace,Software Developer Bootcamp*,Night,Male,Management,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Egypt,Egypt Online Hackerspace,Web Development Essentials*,Code Schedule,Male,Management,25-34,Mid-Level,Completed,1,100.0,1,3.0,1.0
2024-01,Egypt,Egypt Online Hackerspace,Web Development Essentials*,Code Schedule,Male,Sales,18-24,No Experience,Active / In Progress,1,31.09,0,0.0,0.0
2024-01,Egypt,Heliopolis Hackerspace,Introduction to UX Design,Code Schedule,Female,Sales,18-24,No Experience,Active / In Progress,1,80.0,0,0.0,0.0
2024-01,Egypt,Heliopolis Hackerspace,Introduction to UX Design,Code Schedule,Unknown,Marketing,Unknown,No Experience,Likely Churned,1,0.0,0,0.0,0.0
2024-01,Kenya,Kenya Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Research And Development,Unknown,Junior,Active / In Progress,1,48.6,0,1.0,0.0
2024-01,Kenya,Kenya Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Sales,18-24,No Experience,Active / In Progress,1,31.41,0,0.0,0.0
2024-01,Kenya,Kenya Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Sales,25-34,No Experience,Active / In Progress,1,54.75,0,0.0,0.0
2024-01,Kenya,Kenya Online Hackerspace,Software Developer Bootcamp*,Afternoon,Male,Engineering And Technology,18-24,No Experience,Completed,1,99.78,1,0.0,1.0
2024-01,Kenya,Kenya Online Hackerspace,Software Developer Bootcamp*,Afternoon,Male,Sales,25-34,No Experience,Completed,1,99.78,1,0.0,1.0
2024-01,Kenya,Kenya Online Hackerspace,Web Development Essentials*,Code Schedule,Female,Sales,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Kenya,Kenya Online Hackerspace,Web Development Essentials*,Code Schedule,Male,Management,25-34,Mid-Level,Completed,1,98.35,1,3.0,1.0
2024-01,Kenya,Kenya Online Hackerspace,Web Development Essentials*,Code Schedule,Male,Sales,18-24,No Experience,Completed,1,95.0,1,0.0,1.0
2024-01,Kenya,Nairobi Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Female,Design,18-24,No Experience,Completed,1,91.94,1,0.0,1.0
2024-01,Kenya,Nairobi Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Female,Management,25-34,Junior,Active / In Progress,1,32.8,0,2.0,0.0
2024-01,Kenya,Nairobi Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Female,Marketing,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Kenya,Nairobi Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Male,Operations,18-24,No Experience,Active / In Progress,1,52.38,0,0.0,0.0
2024-01,Kenya,Nairobi Hackerspace,Software Developer Bootcamp*,Morning,Female,Management,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Kenya,Nairobi Hackerspace,Software Developer Bootcamp*,Morning,Female,Sales,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Kenya,Nairobi Hackerspace,Software Developer Bootcamp*,Morning,Female,Sales,25-34,Mid-Level,Completed,1,100.0,1,3.0,1.0
2024-01,Kenya,Nairobi Hackerspace,Software Developer Bootcamp*,Morning,Male,Design,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Kenya,Nairobi Hackerspace,Software Developer Bootcamp*,Morning,Male,Management,25-34,Junior,Completed,1,100.0,1,1.0,1.0
2024-01,Kenya,Nairobi Hackerspace,Software Developer Bootcamp*,Morning,Male,Operations,18-24,No Experience,Likely Churned,1,5.79,0,0.0,0.0
2024-01,Kenya,Nairobi Hackerspace,Software Developer Bootcamp*,Morning,Male,Research And Development,25-34,No Experience,Likely Churned,1,15.24,0,0.0,0.0
2024-01,Kenya,Nairobi Hackerspace,Software Developer Bootcamp*,Morning,Male,Sales,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Kenya,Nairobi Hackerspace,Software Developer Bootcamp*,Morning,Male,Sales,25-34,No Experience,Likely Churned,1,15.43,0,0.0,0.0
2024-01,Kenya,Nairobi Hackerspace,Software Developer Bootcamp*,Morning,Male,Unknown,Unknown,No Experience,Completed,1,99.78,1,0.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Data Analytics - Microsoft Power BI Certified*,Code Schedule,Female,Marketing,35-49,No Experience,Active / In Progress,1,50.47,0,0.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Data Analytics - Microsoft Power BI Certified*,Code Schedule,Female,Research And Development,18-24,Junior,Completed,1,100.0,1,1.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Data Analytics - Microsoft Power BI Certified*,Code Schedule,Female,Research And Development,25-34,Junior,Active / In Progress,2,55.835,0,1.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Data Analytics - Microsoft Power BI Certified*,Code Schedule,Female,Research And Development,25-34,Mid-Level,Active / In Progress,2,65.83500000000001,0,3.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Data Analytics - Microsoft Power BI Certified*,Code Schedule,Female,Research And Development,35-49,Mid-Level,Completed,1,98.13,1,3.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Data Analytics - Microsoft Power BI Certified*,Code Schedule,Male,Research And Development,25-34,No Experience,Active / In Progress,1,45.83,0,0.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Data Scientist Bootcamp*,Morning,Female,Sales,18-24,No Experience,Active / In Progress,1,97.21,0,0.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Data Scientist Bootcamp*,Morning,Female,Unknown,25-34,Junior,Completed,1,99.16,1,1.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Data Scientist Bootcamp*,Morning,Male,Sales,18-24,No Experience,Completed,1,99.44,1,0.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Front End Developer - React JS Certified,Code Schedule,Female,Management,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Front End Developer - React JS Certified,Code Schedule,Female,Marketing,18-24,Junior,Completed,1,100.0,1,1.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Front End Developer - React JS Certified,Code Schedule,Male,Marketing,25-34,Junior,Active / In Progress,1,27.5,0,1.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Performance Marketing - Meta Certified,Code Schedule,Female,Management,35-49,No Experience,Likely Churned,1,1.16,0,0.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Performance Marketing - Meta Certified,Code Schedule,Female,Marketing,25-34,No Experience,Likely Churned,1,3.45,0,0.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Performance Marketing - Meta Certified,Code Schedule,Male,Unknown,50+,No Experience,Likely Churned,1,12.07,0,0.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Python Essentials*,Code Schedule,Female,Unknown,25-34,No Experience,Completed,2,100.0,2,0.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Engineering And Technology,18-24,No Experience,Completed,2,100.0,2,0.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Management,18-24,No Experience,Active / In Progress,1,58.82,0,0.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Management,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Research And Development,35-49,Mid-Level,Completed,1,100.0,1,3.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Social Media Marketing Essentials*,Code Schedule,Female,Sales,18-24,Junior,Completed,1,100.0,1,1.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Social Media Marketing Essentials*,Code Schedule,Male,Management,18-24,Junior,Likely Churned,1,23.53,0,1.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Social Media Marketing Essentials*,Code Schedule,Male,Management,25-34,Junior,Completed,1,100.0,1,2.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Social Media Marketing Essentials*,Code Schedule,Male,Management,25-34,Junior,Likely Churned,1,23.53,0,1.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Social Media Marketing Essentials*,Code Schedule,Unknown,Marketing,Unknown,No Experience,Likely Churned,2,0.0,0,0.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Software Developer Bootcamp*,Night,Male,Engineering And Technology,18-24,No Experience,Completed,1,99.56,1,0.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Software Developer Bootcamp*,Night,Male,Engineering And Technology,35-49,No Experience,Likely Churned,1,14.94,0,0.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Software Developer Bootcamp*,Night,Male,Unknown,35-49,Mid-Level,Active / In Progress,1,25.11,0,3.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Web Development Essentials*,Code Schedule,Male,Engineering And Technology,18-24,No Experience,Completed,2,100.0,2,0.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Web Development Essentials*,Code Schedule,Male,Management,18-24,Junior,Active / In Progress,1,40.34,0,1.0,0.0
2024-01,Morocco,Casablanca Hackerspace,Web Development Essentials*,Code Schedule,Male,Management,18-24,Junior,Completed,1,100.0,1,1.0,1.0
2024-01,Morocco,Casablanca Hackerspace,Web Development Essentials*,Code Schedule,Male,Research And Development,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Morocco,Marrakech Hackerspace,Digital Marketing: Social Media Management - FR,Code Schedule,Female,Research And Development,18-24,Junior,Completed,1,100.0,1,1.0,1.0
2024-01,Morocco,Marrakech Hackerspace,Digital Marketing: Social Media Management - FR,Code Schedule,Female,Research And Development,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Morocco,Marrakech Hackerspace,Digital Marketing: Social Media Management - FR,Code Schedule,Female,Sales,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Cybersecurity - Comptia Security + Certified,Code Schedule,Female,Management,18-24,Junior,Completed,1,100.0,1,1.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Cybersecurity - Comptia Security + Certified,Code Schedule,Male,Engineering And Technology,18-24,No Experience,Completed,1,97.1,1,0.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Cybersecurity - Comptia Security + Certified,Code Schedule,Male,Research And Development,25-34,Junior,Completed,1,100.0,1,2.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Data Scientist Bootcamp*,Night,Female,Unknown,35-49,Mid-Level,Completed,1,84.92,1,3.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Management,18-24,No Experience,Completed,1,84.92,1,0.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Research And Development,Unknown,Junior,Completed,1,100.0,1,1.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Female,Sales,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Male,Marketing,25-34,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Python Essentials*,Code Schedule,Female,Sales,25-34,Mid-Level,Completed,1,100.0,1,3.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Software Developer Bootcamp*,Night,Male,Management,25-34,Junior,Completed,1,100.0,1,2.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Software Developer Bootcamp*,Night,Male,Management,25-34,No Experience,Completed,1,99.56,1,0.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Software Developer Bootcamp*,Night,Male,Marketing,25-34,No Experience,Completed,1,99.34,1,0.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Software Developer Bootcamp*,Night,Male,Sales,25-34,Junior,Completed,1,99.56,1,2.0,1.0
2024-01,Morocco,Morocco Online Hackerspace,Software Developer Bootcamp*,Night,Male,Sales,25-34,Mid-Level,Completed,1,100.0,1,3.0,1.0
2024-01,Morocco,Rabat Hackerspace,Front End Developer - React JS Certified,Code Schedule,Male,Engineering And Technology,18-24,No Experience,Completed,2,100.0,2,0.0,1.0
2024-01,Morocco,Rabat Hackerspace,Front End Developer - React JS Certified,Code Schedule,Male,Management,25-34,Junior,Completed,1,100.0,1,1.0,1.0
2024-01,Morocco,Rabat Hackerspace,Software Developer Bootcamp*,Morning,Female,Management,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Morocco,Rabat Hackerspace,Software Developer Bootcamp*,Morning,Male,Research And Development,25-34,Junior,Completed,1,100.0,1,1.0,1.0
2024-01,Morocco,Rabat Hackerspace,Software Developer Bootcamp*,Morning,Male,Research And Development,35-49,Mid-Level,Completed,1,99.56,1,3.0,1.0
2024-01,Morocco,Sidi Maarouf Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Female,Engineering And Technology,18-24,No Experience,Likely Churned,1,17.65,0,0.0,0.0
2024-01,Morocco,Sidi Maarouf Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Female,Management,25-34,No Experience,Active / In Progress,1,57.5,0,0.0,0.0
2024-01,Morocco,Sidi Maarouf Hackerspace,Graphic Design - Adobe Certified*,Code Schedule,Female,Research And Development,35-49,No Experience,Active / In Progress,1,44.54,0,0.0,0.0
2024-01,Morocco,Sidi Maarouf Hackerspace,Python Essentials*,Code Schedule,Female,Research And Development,25-34,Junior,Likely Churned,1,0.0,0,2.0,0.0
2024-01,Morocco,Sidi Maarouf Hackerspace,Python Essentials*,Code Schedule,Female,Unknown,18-24,No Experience,Active / In Progress,1,26.47,0,0.0,0.0
2024-01,Morocco,Sidi Maarouf Hackerspace,Python Essentials*,Code Schedule,Male,Finance And Accounting And Legal,Under 18,No Experience,Completed,2,100.0,2,0.0,1.0
2024-01,Morocco,Sidi Maarouf Hackerspace,Python Essentials*,Code Schedule,Male,Marketing,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Morocco,Sidi Maarouf Hackerspace,Python Essentials*,Code Schedule,Male,Research And Development,25-34,Mid-Level,Active / In Progress,1,63.97,0,3.0,0.0
2024-01,Morocco,Sidi Maarouf Hackerspace,Social Media Marketing Essentials*,Code Schedule,Male,Management,18-24,Junior,Likely Churned,1,0.0,0,1.0,0.0
2024-01,Morocco,Sidi Maarouf Hackerspace,Social Media Marketing Essentials*,Code Schedule,Unknown,Marketing,Unknown,No Experience,Likely Churned,1,0.0,0,0.0,0.0
